district,monsoon,rain_24h_mm,rain_6h_mm,river_level_m,river_danger_m,soil_moisture_index,elevation_m,slope_deg,humidity_pct,wind_kmh,temp_c,coastal,rain24,rain6,river_ratio,soil,low_elev,flat,humidity,slope,wind,temp,label_flood,label_landslide,label_cyclone,label_rainfall
Porbandar,1,2.9,0.8,2.95,6.2,0.727,8,1,80.6,10.5,30.2,1.0,0.00971,0.00559,0.47561,0.72747,0.98,0.95,0.61131,0.02857,0,0.51185,0,0,0,0
Patan,0,0.7,0.4,0.51,6.0,0.119,70,1,48.5,9.2,26.5,0.0,0.00241,0.00269,0.08507,0.11941,0.825,0.95,0,0.02857,0,0.32443,0,0,0,0
Bhavnagar,0,2.4,1.4,3.26,7.4,0.446,24,2,57.9,36.8,34.3,1.0,0.00814,0.00968,0.43995,0.44629,0.94,0.9,0.15776,0.05714,0.20963,0.71597,0,0,0,0
Surat,1,10.1,8.6,5.36,9.4,0.835,13,1,87.9,47.1,27.9,1.0,0.03353,0.06108,0.57005,0.83523,0.9675,0.95,0.75756,0.02857,0.33867,0.3947,0,0,0,0
Valsad,1,79.9,19.6,5.04,7.0,0.881,12,2,79.0,16.4,27.1,1.0,0.26641,0.13996,0.71975,0.8806,0.97,0.9,0.57923,0.05714,0,0.35555,1,0,0,0
Vadodara,1,12.4,8.5,4.81,8.0,0.91,39,2,90.8,41.5,24.4,0.0,0.0413,0.06089,0.60131,0.91014,0.9025,0.9,0.81552,0.05714,0.26925,0.22036,0,0,0,0
Vadodara,0,14.9,8.7,4.11,8.0,0.378,39,2,57.3,8.2,31.2,0.0,0.04952,0.06222,0.51352,0.3775,0.9025,0.9,0.14643,0.05714,0,0.55938,0,0,0,0
Jamnagar,0,1.4,0.9,2.56,6.5,0.261,20,2,53.2,2,31.4,1.0,0.0048,0.00635,0.39336,0.26123,0.95,0.9,0.06375,0.05714,0,0.5683,0,0,0,0
Patan,1,12.7,6.5,2.41,6.0,0.531,70,1,79.3,31.6,26.5,0.0,0.04229,0.04661,0.40199,0.53134,0.825,0.95,0.58699,0.02857,0.14524,0.32507,0,0,0,0
Jamnagar,1,84.8,56.6,3.85,6.5,0.695,20,2,73.5,24.9,27.0,1.0,0.28261,0.40453,0.59194,0.69456,0.95,0.9,0.46973,0.05714,0.06152,0.34998,1,0,0,0
Bhavnagar,1,25.9,16.7,4.35,7.4,0.646,24,2,99.7,12.9,24.9,1.0,0.08629,0.11911,0.58824,0.6459,0.94,0.9,0.99369,0.05714,0,0.24624,0,0,0,0
Vadodara,0,4.3,2.3,3.06,8.0,0.444,39,2,51.8,34.5,35.6,0.0,0.01448,0.01658,0.383,0.44387,0.9025,0.9,0.03555,0.05714,0.18173,0.77862,0,0,0,0
Surat,0,8.5,5.1,4.55,9.4,0.514,13,1,51.9,25.5,29.7,1.0,0.0284,0.03662,0.48428,0.51407,0.9675,0.95,0.03828,0.02857,0.06921,0.48593,0,0,0,0
Porbandar,1,43.1,6.3,3.27,6.2,0.587,8,1,84.1,6.5,22.1,1.0,0.14378,0.04502,0.52681,0.58663,0.98,0.95,0.6815,0.02857,0,0.104,1,0,0,0
Jamnagar,1,29.2,13.3,3.01,6.5,0.49,20,2,73.2,13.1,28.8,1.0,0.09744,0.09519,0.46349,0.4897,0.95,0.9,0.46463,0.05714,0,0.44215,0,0,0,0
Porbandar,1,4.7,2.8,3.03,6.2,0.73,8,1,73.1,32.8,26.4,1.0,0.0158,0.02016,0.48934,0.73039,0.98,0.95,0.46155,0.02857,0.1594,0.31823,0,0,0,0
Surat,1,54.0,24.0,6.36,9.4,1.0,13,1,89.4,22.3,28.7,1.0,0.1799,0.17128,0.67607,1.0,0.9675,0.95,0.78829,0.02857,0.02905,0.43296,1,0,0,0
Patan,0,7.7,6.5,2.36,6.0,0.241,70,1,54.1,8.5,34.6,0.0,0.02562,0.04667,0.39381,0.24079,0.825,0.95,0.08182,0.02857,0,0.72813,0,0,0,0
Navsari,0,14.7,2.5,3.29,7.3,0.464,11,1,47.8,17.5,32.8,1.0,0.04897,0.01767,0.45096,0.46368,0.9725,0.95,0,0.02857,0,0.63791,0,0,0,0
Bhavnagar,0,1.3,1.1,3.37,7.4,0.467,24,2,46.5,24.7,27.7,1.0,0.00447,0.00814,0.4557,0.46655,0.94,0.9,0,0.05714,0.05917,0.38355,0,0,0,0
Bhavnagar,0,8.1,4.3,3.67,7.4,0.401,24,2,58.4,24.7,28.2,1.0,0.0269,0.03061,0.49613,0.40087,0.94,0.9,0.16857,0.05714,0.05914,0.4088,0,0,0,0
Patan,0,2.0,0.6,2.21,6.0,0.322,70,1,43.3,19.7,33.0,0.0,0.00662,0.00413,0.36756,0.32211,0.825,0.95,0,0.02857,0,0.6498,0,0,0,0
Bhuj,1,22.6,11.3,2.78,5.8,0.459,110,4,88.7,22.3,26.1,1.0,0.07541,0.08057,0.47992,0.45912,0.725,0.8,0.7734,0.11429,0.02819,0.30457,1,0,0,0
Navsari,0,23.6,11.5,3.5,7.3,0.553,11,1,64.5,13.5,32.0,1.0,0.07877,0.08195,0.47941,0.5531,0.9725,0.95,0.28941,0.02857,0,0.60231,0,0,0,0
Dang,1,24.5,5.3,4.38,6.4,0.87,975,27,71.5,7.5,30.1,0.0,0.08165,0.03753,0.68497,0.86967,0,0,0.42941,0.77143,0,0.5044,0,0,0,0
Vadodara,1,24.1,13.6,4.73,8.0,0.66,39,2,79.9,29.8,29.2,0.0,0.08047,0.09706,0.59073,0.66005,0.9025,0.9,0.59883,0.05714,0.1231,0.45781,0,0,0,0
Ahmedabad,1,31.6,6.6,4.63,8.5,0.747,53,2,84.1,20.7,24.5,0.0,0.10548,0.04686,0.54509,0.74662,0.8675,0.9,0.68132,0.05714,0.0088,0.22344,0,0,0,0
Surat,0,7.0,4.3,4.32,9.4,0.537,13,1,53.0,15.3,30.8,1.0,0.02326,0.03053,0.45993,0.53671,0.9675,0.95,0.05973,0.02857,0,0.53761,0,0,0,0
Bhavnagar,0,4.2,0.2,3.05,7.4,0.386,24,2,50.8,12.3,33.6,1.0,0.01412,0.00151,0.41185,0.3856,0.94,0.9,0.01624,0.05714,0,0.67969,0,0,0,0
Navsari,0,5.0,1.6,3.12,7.3,0.511,11,1,56.8,20.1,31.7,1.0,0.01668,0.01175,0.42735,0.51148,0.9725,0.95,0.13525,0.02857,0.00076,0.58457,0,0,0,0
Surat,1,21.6,13.8,4.5,9.4,0.844,13,1,86.3,11.4,26.2,1.0,0.07207,0.09838,0.47855,0.84407,0.9675,0.95,0.72698,0.02857,0,0.31023,0,0,1,0
Vadodara,1,20.6,13.2,4.39,8.0,0.733,39,2,100,24.5,24.3,0.0,0.0687,0.09426,0.54904,0.73263,0.9025,0.9,1,0.05714,0.05579,0.21721,1,0,0,0
Vadodara,1,69.2,55.2,5.41,8.0,0.795,39,2,86.1,18.9,23.6,0.0,0.23074,0.39437,0.67629,0.79526,0.9025,0.9,0.72202,0.05714,0,0.18191,0,0,0,0
Valsad,1,33.9,18.6,4.46,7.0,0.965,12,2,80.4,25.3,26.2,1.0,0.11302,0.1331,0.63674,0.96501,0.97,0.9,0.60725,0.05714,0.06578,0.30881,1,0,0,0
Patan,0,7.6,2.8,3.39,6.0,0.171,70,1,58.4,5.0,31.8,0.0,0.0252,0.01991,0.56554,0.17054,0.825,0.95,0.16872,0.02857,0,0.58771,0,0,0,0
Porbandar,0,13.5,3.9,2.61,6.2,0.326,8,1,42.2,14.4,32.5,1.0,0.0449,0.02793,0.42047,0.32626,0.98,0.95,0,0.02857,0,0.6273,0,0,0,0
Navsari,0,10.6,8.7,3.92,7.3,0.513,11,1,47.0,10.8,28.4,1.0,0.03533,0.06188,0.53763,0.51307,0.9725,0.95,0,0.02857,0,0.42175,0,0,0,0
Jamnagar,0,4.6,2.2,3.15,6.5,0.306,20,2,55.0,35.8,34.4,1.0,0.01548,0.01561,0.48513,0.30597,0.95,0.9,0.10072,0.05714,0.19748,0.72068,0,0,1,0
Bhavnagar,0,4.8,3.4,3.06,7.4,0.247,24,2,59.0,2.9,30.0,1.0,0.01593,0.02418,0.41364,0.24674,0.94,0.9,0.18047,0.05714,0,0.49886,0,0,0,0
Bhuj,1,39.6,17.4,3.14,5.8,0.293,110,4,85.1,21.2,28.3,1.0,0.13194,0.12447,0.54067,0.29306,0.725,0.8,0.70252,0.11429,0.01533,0.41333,0,0,0,0
Bhuj,0,1.5,0.5,0.24,5.8,0.025,110,4,43.4,33.9,30.8,1.0,0.00498,0.00359,0.04171,0.02489,0.725,0.8,0,0.11429,0.17372,0.53781,0,0,0,1
Rajkot,1,39.0,29.3,3.75,7.2,0.669,134,3,81.0,6.4,27.1,0.0,0.12984,0.20913,0.52024,0.66886,0.665,0.85,0.61923,0.08571,0,0.35595,0,0,0,0
Valsad,0,13.7,8.8,2.54,7.0,0.571,12,2,46.9,17.5,30.4,1.0,0.04575,0.06299,0.36234,0.57115,0.97,0.9,0,0.05714,0,0.52179,0,0,1,0
Dang,1,56.4,37.2,3.99,6.4,0.922,975,27,84.0,3.9,26.9,0.0,0.18807,0.26577,0.62387,0.92211,0,0,0.68096,0.77143,0,0.34464,0,0,0,0
Surat,1,48.1,30.2,5.77,9.4,0.892,13,1,80.2,54.3,28.6,1.0,0.16045,0.21539,0.61403,0.89238,0.9675,0.95,0.60331,0.02857,0.42931,0.42849,1,0,1,0
Ahmedabad,1,13.7,8.8,4.97,8.5,0.763,53,2,84.8,10.3,25.4,0.0,0.04555,0.0628,0.58461,0.76306,0.8675,0.9,0.69698,0.05714,0,0.27003,1,0,0,1
Ahmedabad,1,45.0,7.3,5.5,8.5,0.852,53,2,72.1,15.8,25.8,0.0,0.14987,0.05188,0.64727,0.85161,0.8675,0.9,0.44207,0.05714,0,0.29101,0,0,0,0
Jamnagar,1,6.6,1.3,3.28,6.5,0.766,20,2,81.4,36.9,29.6,1.0,0.02192,0.00962,0.50525,0.76625,0.95,0.9,0.62772,0.05714,0.21128,0.48002,1,0,0,0
Jamnagar,0,0.5,0.3,2.33,6.5,0.315,20,2,52.8,7.9,34.6,1.0,0.0018,0.00218,0.35817,0.31513,0.95,0.9,0.05591,0.05714,0,0.72951,0,0,0,0
Surat,1,81.1,19.7,6.18,9.4,0.917,13,1,61.2,23.0,26.3,1.0,0.27021,0.14071,0.65697,0.91717,0.9675,0.95,0.22369,0.02857,0.03756,0.3155,0,0,0,0
Vadodara,0,5.6,0.5,3.19,8.0,0.421,39,2,65.3,3.1,31.8,0.0,0.01859,0.00327,0.3982,0.42132,0.9025,0.9,0.3069,0.05714,0,0.59093,0,0,0,0
Patan,0,2.5,1.2,1.91,6.0,0.159,70,1,40.9,25.5,36.4,0.0,0.0082,0.0087,0.3188,0.15851,0.825,0.95,0,0.02857,0.06936,0.82136,0,0,0,0
Valsad,1,183.0,12.1,6.42,7.0,1.0,12,2,88.9,5.1,24.4,1.0,0.61015,0.08666,0.9168,1.0,0.97,0.9,0.77851,0.05714,0,0.22102,1,0,0,1
Rajkot,1,73.7,40.7,4.09,7.2,0.643,134,3,89.8,22.1,26.0,0.0,0.24564,0.29052,0.56823,0.64281,0.665,0.85,0.79552,0.08571,0.02617,0.2995,1,0,0,0
Valsad,0,15.9,9.7,2.87,7.0,0.478,12,2,42.2,34.8,34.3,1.0,0.05304,0.0692,0.41028,0.47813,0.97,0.9,0,0.05714,0.18443,0.71427,0,0,0,0
Dang,1,87.7,52.7,4.57,6.4,0.969,975,27,84.1,2.7,24.7,0.0,0.29236,0.3762,0.71454,0.96933,0,0,0.6825,0.77143,0,0.23749,0,0,0,1
Patan,1,52.2,27.0,3.32,6.0,0.512,70,1,84.3,11.2,25.5,0.0,0.17412,0.19276,0.55277,0.51164,0.825,0.95,0.68661,0.02857,0,0.27734,0,0,0,0
Patan,1,12.2,1.1,2.46,6.0,0.486,70,1,69.9,12.7,27.4,0.0,0.04051,0.00764,0.41051,0.48643,0.825,0.95,0.3978,0.02857,0,0.36975,1,0,0,0
Vadodara,0,4.6,2.4,4.5,8.0,0.473,39,2,51.6,4.2,30.4,0.0,0.01538,0.01722,0.56255,0.47311,0.9025,0.9,0.03112,0.05714,0,0.51781,0,0,0,0
Rajkot,0,6.5,2.4,1.79,7.2,0.208,134,3,40.4,20.7,33.1,0.0,0.02161,0.01727,0.24872,0.20812,0.665,0.85,0,0.08571,0.00851,0.65654,0,0,0,0
Ahmedabad,1,15.8,6.1,4.56,8.5,0.819,53,2,77.4,11.9,30.6,0.0,0.05273,0.04389,0.53622,0.81926,0.8675,0.9,0.54843,0.05714,0,0.53012,0,0,0,0
Bhuj,1,12.0,5.9,3.09,5.8,0.408,110,4,68.1,111.3,25.0,1.0,0.04015,0.04188,0.5324,0.4081,0.725,0.8,0.36295,0.11429,1,0.24946,1,0,1,0
Dang,0,31.8,7.4,4.03,6.4,0.623,975,27,50.6,7.4,32.8,0.0,0.1061,0.05296,0.63007,0.62295,0,0,0.0114,0.77143,0,0.63848,0,0,0,0
Rajkot,1,54.0,25.8,4.49,7.2,0.768,134,3,83.5,9.4,28.0,0.0,0.18011,0.18448,0.62373,0.76764,0.665,0.85,0.67058,0.08571,0,0.39775,0,0,0,0
Dang,1,68.8,11.8,3.44,6.4,0.994,975,27,80.2,6.5,28.0,0.0,0.22945,0.08458,0.53727,0.99373,0,0,0.60494,0.77143,0,0.40214,0,1,0,0
Rajkot,0,1.8,1.0,3.64,7.2,0.322,134,3,62.6,6.8,33.3,0.0,0.00588,0.00725,0.50607,0.32159,0.665,0.85,0.2514,0.08571,0,0.66391,0,0,0,0
Rajkot,1,9.2,3.2,3.37,7.2,0.743,134,3,87.5,22.7,25.9,0.0,0.03075,0.02285,0.46769,0.7429,0.665,0.85,0.74997,0.08571,0.03313,0.29317,0,0,0,0
Navsari,0,3.6,2.7,3.45,7.3,0.5,11,1,48.9,6.5,34.1,1.0,0.0119,0.019,0.47206,0.50002,0.9725,0.95,0,0.02857,0,0.70389,0,0,0,0
Porbandar,1,16.0,3.5,4.15,6.2,0.72,8,1,89.0,12.8,27.4,1.0,0.05341,0.02478,0.66952,0.72008,0.98,0.95,0.78077,0.02857,0,0.36752,0,0,0,0
Bhavnagar,0,1.5,0.5,3.09,7.4,0.456,24,2,49.4,24.2,35.5,1.0,0.00488,0.00355,0.41715,0.45613,0.94,0.9,0,0.05714,0.05234,0.77355,0,0,0,0
Rajkot,1,38.5,21.1,4.46,7.2,0.717,134,3,80.8,6.2,25.6,0.0,0.1283,0.15104,0.61887,0.71739,0.665,0.85,0.61658,0.08571,0,0.28124,0,0,0,0
Surat,1,27.4,7.7,5.75,9.4,0.871,13,1,88.5,19.7,28.6,1.0,0.09146,0.05495,0.61148,0.87052,0.9675,0.95,0.77019,0.02857,0,0.43167,0,0,0,0
Valsad,1,37.6,19.0,4.4,7.0,0.941,12,2,89.3,68.3,22.8,1.0,0.12527,0.13564,0.62906,0.94122,0.97,0.9,0.7866,0.05714,0.60406,0.13967,0,0,1,0
Navsari,1,26.7,14.7,4.3,7.3,0.738,11,1,83.6,11.0,26.0,1.0,0.08893,0.10464,0.58861,0.73752,0.9725,0.95,0.67266,0.02857,0,0.30113,1,1,0,0
Surat,1,47.9,13.3,7.05,9.4,0.844,13,1,86.7,18.8,22.4,1.0,0.1595,0.09515,0.74996,0.84363,0.9675,0.95,0.73302,0.02857,0,0.12078,0,0,0,0
Bhavnagar,1,48.3,12.4,4.86,7.4,0.759,24,2,77.6,9.5,28.0,1.0,0.16091,0.08891,0.65732,0.75897,0.94,0.9,0.55252,0.05714,0,0.39947,0,0,1,1
Jamnagar,0,7.4,3.8,2.33,6.5,0.307,20,2,55.8,147.4,33.6,1.0,0.02477,0.02729,0.35886,0.30662,0.95,0.9,0.11602,0.05714,1,0.68028,0,0,1,0
Surat,1,34.9,17.3,5.51,9.4,0.89,13,1,75.6,32.5,28.8,1.0,0.11641,0.12323,0.58587,0.88958,0.9675,0.95,0.51168,0.02857,0.15656,0.44216,0,0,0,0
Valsad,1,42.4,18.7,4.51,7.0,0.818,12,2,92.6,13.7,29.9,1.0,0.1414,0.13356,0.64384,0.81785,0.97,0.9,0.85294,0.05714,0,0.49698,0,0,0,0
Navsari,1,64.0,29.2,5.17,7.3,1.0,11,1,88.1,21.1,22.4,1.0,0.21336,0.20858,0.70832,1.0,0.9725,0.95,0.76177,0.02857,0.0133,0.12162,1,0,0,0
Patan,1,28.1,9.1,3.98,6.0,0.67,70,1,89.4,29.6,28.3,0.0,0.09353,0.06504,0.66309,0.66965,0.825,0.95,0.78809,0.02857,0.12038,0.41501,1,0,0,0
Surat,1,22.1,10.4,5.39,9.4,0.901,13,1,81.4,4.4,25.6,1.0,0.07368,0.07444,0.57315,0.90137,0.9675,0.95,0.62887,0.02857,0,0.27754,1,0,0,0
Bhavnagar,0,1.5,1.2,1.95,7.4,0.32,24,2,62.4,14.9,36.0,1.0,0.00499,0.00871,0.26396,0.31962,0.94,0.9,0.24839,0.05714,0,0.80104,0,0,0,0
Bhuj,1,12.9,8.4,1.95,5.8,0.303,110,4,88.7,24.2,24.0,1.0,0.04306,0.06026,0.33652,0.30294,0.725,0.8,0.77374,0.11429,0.0522,0.20169,0,0,0,0
Jamnagar,1,62.1,18.8,5.16,6.5,0.682,20,2,95.2,3.5,27.8,1.0,0.20715,0.13433,0.79385,0.68172,0.95,0.9,0.90447,0.05714,0,0.3914,0,0,0,0
Patan,0,8.3,1.9,1.48,6.0,0.233,70,1,53.1,2,34.9,0.0,0.02777,0.01324,0.24734,0.2331,0.825,0.95,0.06245,0.02857,0,0.7466,0,0,0,0
Valsad,1,67.1,19.3,4.87,7.0,1.0,12,2,78.4,27.2,24.9,1.0,0.22377,0.13751,0.69587,1.0,0.97,0.9,0.56761,0.05714,0.08939,0.24285,0,0,0,0
Bhuj,1,22.3,7.4,3.99,5.8,0.639,110,4,70.9,42.9,25.7,1.0,0.07447,0.05297,0.68782,0.6393,0.725,0.8,0.41728,0.11429,0.28577,0.28404,0,0,1,0
Bhuj,1,21.0,9.5,3.17,5.8,0.589,110,4,70.3,9.4,23.8,1.0,0.0701,0.06753,0.54592,0.58896,0.725,0.8,0.40566,0.11429,0,0.19244,0,0,0,0
Rajkot,1,14.8,9.4,3.42,7.2,0.562,134,3,79.4,26.8,29.4,0.0,0.04947,0.06699,0.47525,0.56188,0.665,0.85,0.58738,0.08571,0.08509,0.46799,0,0,0,0
Navsari,1,74.4,36.3,4.93,7.3,0.846,11,1,84.2,32.8,26.1,1.0,0.24797,0.25925,0.67491,0.84562,0.9725,0.95,0.68388,0.02857,0.15966,0.30534,0,0,0,0
Valsad,1,38.2,32.4,4.21,7.0,0.862,12,2,81.9,14.4,23.8,1.0,0.12722,0.23171,0.60181,0.86184,0.97,0.9,0.63885,0.05714,0,0.19015,0,0,0,0
Valsad,1,10.9,0.6,3.99,7.0,0.921,12,2,81.1,60.9,25.2,1.0,0.03623,0.00458,0.56939,0.92106,0.97,0.9,0.62284,0.05714,0.51085,0.25777,0,0,0,1
Rajkot,1,5.2,1.0,3.18,7.2,0.566,134,3,81.4,4.4,26.1,0.0,0.01745,0.00732,0.44194,0.5659,0.665,0.85,0.62865,0.08571,0,0.30447,0,0,1,0
Bhavnagar,1,4.4,2.0,3.15,7.4,0.614,24,2,80.1,14.9,24.5,1.0,0.01473,0.01461,0.42553,0.61436,0.94,0.9,0.60156,0.05714,0,0.22586,0,0,0,0
Patan,1,10.8,2.5,3.13,6.0,0.498,70,1,82.3,22.4,29.5,0.0,0.03609,0.01765,0.52186,0.49786,0.825,0.95,0.64677,0.02857,0.02959,0.47678,0,0,0,1
Patan,0,1.8,0.8,1.63,6.0,0.225,70,1,61.1,9.2,31.2,0.0,0.00608,0.00539,0.27136,0.22453,0.825,0.95,0.22211,0.02857,0,0.55821,0,0,0,0
Vadodara,1,12.9,5.8,5.62,8.0,0.788,39,2,83.2,11.8,26.5,0.0,0.04293,0.0417,0.70311,0.78817,0.9025,0.9,0.66409,0.05714,0,0.32737,0,0,0,0
Bhavnagar,1,0.8,0.2,3.62,7.4,0.635,24,2,89.9,20.7,27.0,1.0,0.00259,0.00118,0.4889,0.63513,0.94,0.9,0.79712,0.05714,0.00839,0.35231,0,0,0,0
Patan,0,1.0,0.5,2.68,6.0,0.102,70,1,47.7,7.6,31.7,0.0,0.00346,0.00385,0.44739,0.10155,0.825,0.95,0,0.02857,0,0.58254,1,0,0,0
Valsad,0,2.9,1.9,2.63,7.0,0.511,12,2,47.4,23.9,32.5,1.0,0.00973,0.01354,0.37613,0.51066,0.97,0.9,0,0.05714,0.04836,0.62368,0,0,0,0
Navsari,0,4.5,3.1,2.96,7.3,0.514,11,1,61.4,49.9,29.9,1.0,0.01515,0.02221,0.40494,0.51395,0.9725,0.95,0.22741,0.02857,0.37407,0.49463,0,0,0,0
Rajkot,1,31.9,20.5,3.8,7.2,0.588,134,3,89.2,17.4,30.8,0.0,0.10627,0.14642,0.52837,0.58836,0.665,0.85,0.78324,0.08571,0,0.53933,0,0,0,0
Rajkot,1,2.0,0.6,3.36,7.2,0.566,134,3,71.6,11.4,26.3,0.0,0.00677,0.00463,0.46669,0.56597,0.665,0.85,0.43181,0.08571,0,0.31587,0,0,0,0
Valsad,0,26.4,14.8,3.02,7.0,0.495,12,2,55.5,23.1,30.2,1.0,0.08815,0.10544,0.43187,0.49534,0.97,0.9,0.11024,0.05714,0.03932,0.51082,1,0,0,0
Jamnagar,1,0.7,0.5,3.61,6.5,0.7,20,2,91.6,71.1,27.6,1.0,0.00232,0.00347,0.55543,0.70023,0.95,0.9,0.83147,0.05714,0.63833,0.37876,0,0,0,0
Ahmedabad,1,97.9,58.6,6.4,8.5,0.859,53,2,84.2,23.9,25.2,0.0,0.32638,0.41841,0.75333,0.85914,0.8675,0.9,0.68312,0.05714,0.04816,0.25844,0,0,0,1
Bhuj,0,1.9,0.3,1.76,5.8,0.02,110,4,46.4,11.2,31.4,1.0,0.00619,0.0022,0.30315,0.02,0.725,0.8,0,0.11429,0,0.56993,0,0,1,0
Dang,0,12.3,5.9,4.07,6.4,0.581,975,27,59.1,7.1,33.9,0.0,0.04089,0.04218,0.63668,0.5815,0,0,0.18254,0.77143,0,0.69424,0,0,0,0
Bhavnagar,1,1.7,0.8,3.78,7.4,0.637,24,2,78.4,28.2,28.0,1.0,0.00564,0.00601,0.51102,0.63692,0.94,0.9,0.56703,0.05714,0.10206,0.39876,0,0,0,0
Porbandar,1,18.1,5.3,3.21,6.2,0.714,8,1,90.4,16.8,29.9,1.0,0.06047,0.0381,0.51735,0.71385,0.98,0.95,0.80818,0.02857,0,0.4956,0,0,0,1
Bhuj,1,15.6,10.4,1.93,5.8,0.297,110,4,61.2,29.9,26.7,1.0,0.05204,0.07427,0.33296,0.29731,0.725,0.8,0.22452,0.11429,0.12335,0.33526,0,0,0,0
Ahmedabad,1,34.5,10.3,4.58,8.5,0.804,53,2,90.7,36.3,27.5,0.0,0.11491,0.07328,0.53846,0.80447,0.8675,0.9,0.81451,0.05714,0.20393,0.37428,0,0,0,0
Porbandar,0,6.9,1.6,2.7,6.2,0.423,8,1,51.8,22.4,32.2,1.0,0.0229,0.01123,0.4348,0.42273,0.98,0.95,0.03651,0.02857,0.0298,0.61233,0,0,0,0
Ahmedabad,1,18.9,3.6,3.65,8.5,0.835,53,2,84.0,17.2,26.7,0.0,0.06301,0.02536,0.42954,0.83467,0.8675,0.9,0.68011,0.05714,0,0.33381,0,0,0,0
Patan,1,11.6,6.7,3.57,6.0,0.556,70,1,80.0,38.1,25.2,0.0,0.03866,0.04788,0.59471,0.55582,0.825,0.95,0.59963,0.02857,0.22567,0.25971,0,0,0,0
Jamnagar,1,22.4,7.0,3.73,6.5,0.557,20,2,73.7,36.7,26.1,1.0,0.07458,0.04994,0.57444,0.55723,0.95,0.9,0.47318,0.05714,0.20834,0.30579,0,0,0,0
Bhuj,1,11.1,7.4,1.6,5.8,0.642,110,4,86.3,26.6,28.5,1.0,0.03695,0.05253,0.27555,0.64174,0.725,0.8,0.72669,0.11429,0.08205,0.42582,0,0,0,0
Rajkot,1,23.7,6.1,4.61,7.2,0.658,134,3,84.9,34.1,27.3,0.0,0.07885,0.04326,0.6403,0.65777,0.665,0.85,0.69842,0.08571,0.17569,0.36693,1,0,0,0
Valsad,0,16.5,7.8,2.69,7.0,0.686,12,2,47.3,16.3,31.4,1.0,0.05504,0.05598,0.38474,0.68618,0.97,0.9,0,0.05714,0,0.56958,0,0,0,0
Jamnagar,1,35.6,18.6,4.12,6.5,0.74,20,2,86.0,30.8,24.7,1.0,0.11883,0.13304,0.63442,0.73966,0.95,0.9,0.72014,0.05714,0.13542,0.23563,0,0,0,1
Rajkot,1,4.4,0.7,2.08,7.2,0.592,134,3,67.0,4.4,29.0,0.0,0.01467,0.00498,0.28854,0.59179,0.665,0.85,0.34029,0.08571,0,0.44951,0,0,0,0
Valsad,1,6.2,1.4,4.25,7.0,0.873,12,2,77.3,10.7,26.2,1.0,0.02052,0.01025,0.60769,0.87299,0.97,0.9,0.54547,0.05714,0,0.31052,0,0,0,0
Vadodara,1,20.5,7.9,4.18,8.0,0.766,39,2,74.0,34.3,27.3,0.0,0.06828,0.05627,0.52293,0.76607,0.9025,0.9,0.48056,0.05714,0.17875,0.36539,1,0,0,0
Surat,0,12.3,4.6,4.44,9.4,0.461,13,1,42.5,25.9,28.0,1.0,0.04086,0.03262,0.47212,0.46074,0.9675,0.95,0,0.02857,0.0737,0.40219,0,0,0,0
Porbandar,1,4.8,2.9,3.02,6.2,0.68,8,1,69.9,76.7,27.0,1.0,0.01586,0.021,0.48706,0.68011,0.98,0.95,0.39747,0.02857,0.70867,0.35174,1,0,0,0
Ahmedabad,0,5.8,1.7,3.5,8.5,0.52,53,2,47.0,32.1,33.0,0.0,0.01941,0.01212,0.41144,0.51962,0.8675,0.9,0,0.05714,0.15113,0.65137,0,0,0,0
Jamnagar,1,9.4,8.0,3.72,6.5,0.694,20,2,75.0,20.6,27.2,1.0,0.03132,0.05705,0.57248,0.69391,0.95,0.9,0.49983,0.05714,0.0081,0.35881,0,0,0,0
Surat,1,44.3,20.9,6.6,9.4,0.864,13,1,99.6,46.4,27.3,1.0,0.14752,0.14941,0.70175,0.86368,0.9675,0.95,0.99202,0.02857,0.33013,0.36479,1,0,0,0
Rajkot,1,12.9,4.5,2.57,7.2,0.621,134,3,88.1,39.4,23.6,0.0,0.04303,0.03244,0.35667,0.62102,0.665,0.85,0.76182,0.08571,0.24204,0.17976,0,0,0,0
Dang,1,83.4,23.5,4.07,6.4,0.957,975,27,90.0,8.8,26.0,0.0,0.278,0.16758,0.6363,0.95677,0,0,0.80068,0.77143,0,0.29844,0,0,0,0
Porbandar,1,2.4,1.2,2.98,6.2,0.837,8,1,77.0,36.4,29.4,1.0,0.00788,0.00847,0.4801,0.83654,0.98,0.95,0.54014,0.02857,0.20541,0.47192,0,0,0,0
Surat,0,11.2,1.8,4.57,9.4,0.618,13,1,48.6,45.1,34.7,1.0,0.03742,0.01263,0.48631,0.61777,0.9675,0.95,0,0.02857,0.31381,0.73347,1,0,0,0
Dang,0,5.2,2.9,2.18,6.4,0.495,975,27,49.3,5.8,32.1,0.0,0.01721,0.02087,0.34007,0.49511,0,0,0,0.77143,0,0.60705,0,0,0,0
Bhuj,0,1.3,0.9,2.51,5.8,0.097,110,4,59.5,19.1,32.7,1.0,0.00424,0.00666,0.43209,0.09661,0.725,0.8,0.19,0.11429,0,0.63716,0,0,0,0
Dang,0,14.7,4.7,2.92,6.4,0.422,975,27,54.0,13.7,35.6,0.0,0.04893,0.03339,0.4558,0.42213,0,0,0.07939,0.77143,0,0.78234,0,0,0,0
